# CHECKPOINTS (DO NOT CHANGE)
Checkpoint   0   0   0 
Checkpoint  10 120  90 
Checkpoint  25  56   0 
Checkpoint  25   0   0 

# ISLES
Isle       -10    -24  0 
Isle       -10    -8  0 
Isle       -10    8  0 
Isle        10    8  0 
Isle       -10   24  0 
Isle        10   24  0 
Isle       -10   40  0 
Isle        10   40  0 
Isle       -10   56  0 
Isle        10   56  0
Isle       -10   72  0 
Isle        10   72  0 
Isle       -10   88  0 
Isle        10   88  0 
Isle       -10  104  0 
Isle        10  104  0
Isle       -10  120  0
Isle       -10  136  0
Isle        10  136  0


Isle       40    -24  0 
Isle       40    -8  0
Isle        40   8   0
Isle        40   24  0
Isle        40   40  0
Isle        40   56  0
Isle        40   72  0
Isle        40   88  0
Isle        40  104  0

Isle        40  120  0
Isle        40  136  0

#Garage
//Garage 70 100 270

Wall       -10   -16  0 
Wall       -10   0  0 
Wall       -10   16  0 
Wall        10   16  0
Wall       -10   32  0 
Wall        10   32  0  
Wall       -10   48  0 
Wall        10   48  0 
Wall       -10   64  0 
Wall        10   64  0 
Wall       -10   80  0 
Wall        10   80  0 
Wall       -10   96  0 
Wall        10   96  0
Wall       -10  112  0
Wall       -10  128  0

Wall         0  136 90
Wall         15  136 90
Wall         30  136 90
Wall         0  -24 90
Wall         15  -24 90
Wall         30  -24 90

Wall        40  -16   0
Wall        40  0   0
Wall        40  16   0
Wall        40  32   0  
Wall        40  48   0 
Wall        40  64   0 
Wall        40  80   0 
Wall        40  96   0
Wall        40  112   0
Wall        40  128   0

# TANKS (SAFE POSITIONS)
Tank1 -12 0 270
Tank1 14 -24 0
Tank1 40 65 0

#Tribune
Tribune -500 48 90
Tribune -400 -300 50
Tribune -400 396 120

Flare -3 25 0
Flare  3 75 0
Flare  35 80 90
Flare 20 40 0
Flare 25 0 0
